StateName,year,avg_inventory
SD,2025,234
TN,2018,1299
TN,2019,1255
TN,2020,1010
TN,2021,761
TN,2022,835
TN,2023,862
TN,2024,1017
TN,2025,1197
TX,2018,1747
TX,2019,1783
TX,2020,1534
TX,2021,1158
TX,2022,1163
TX,2023,1347
TX,2024,1627
TX,2025,1924
UT,2018,1341
UT,2019,1428
UT,2020,1081
UT,2021,912
UT,2022,1170
UT,2023,1187
UT,2024,1240
UT,2025,1488
VA,2018,3590
VA,2019,3157
VA,2020,2484
VA,2021,2240
VA,2022,1900
VA,2023,1540
VA,2024,1681
VA,2025,2068
VT,2018,699
VT,2019,711
VT,2020,532
VT,2021,278
VT,2022,210
VT,2023,179
VT,2024,224
VT,2025,272
WA,2018,1210
WA,2019,1102
WA,2020,830
WA,2021,767
WA,2022,850
WA,2023,730
WA,2024,815
WA,2025,975
WI,2018,948
WI,2019,923
WI,2020,771
WI,2021,748
WI,2022,648
WI,2023,523
WI,2024,529
WI,2025,525
WV,2018,579
WV,2019,524
WV,2020,437
WV,2021,350
WV,2022,308
WV,2023,244
WV,2024,222
WV,2025,236
WY,2018,374
WY,2019,313
WY,2020,263
WY,2021,201
WY,2022,195
WY,2023,200
WY,2024,207
WY,2025,232
