statename,year,current_value,previous_value,yoy_growth_percent
WA,2016,300588.56,272791.56,10.19%
WA,2017,329927.1,300588.56,9.76%
WA,2018,365769.72,329927.1,10.86%
WA,2019,383535.16,365769.72,4.86%
WA,2020,417382.77,383535.16,8.83%
WA,2021,501038.9,417382.77,20.04%
WA,2022,576375.12,501038.9,15.04%
WA,2023,556893.8,576375.12,-3.38%
WA,2024,575586.04,556893.8,3.36%
WA,2025,585027.05,575586.04,1.64%
WI,2001,154114.21,149830.66,2.86%
WI,2002,161818.83,154114.21,5.0%
WI,2003,171631.47,161818.83,6.06%
WI,2004,194914.54,171631.47,13.57%
WI,2005,204324.68,194914.54,4.83%
WI,2006,206917.78,204324.68,1.27%
WI,2007,208992.14,206917.78,1.0%
WI,2008,203881.34,208992.14,-2.45%
WI,2009,172721.09,203881.34,-15.28%
WI,2010,167305.76,172721.09,-3.14%
WI,2011,158699.48,167305.76,-5.14%
WI,2012,154304.18,158699.48,-2.77%
WI,2013,159169.32,154304.18,3.15%
WI,2014,166030.04,159169.32,4.31%
WI,2015,171794.64,166030.04,3.47%
WI,2016,178438.82,171794.64,3.87%
WI,2017,187245.97,178438.82,4.94%
WI,2018,198417.08,187245.97,5.97%
WI,2019,210036.87,198417.08,5.86%
WI,2020,223884.21,210036.87,6.59%
WI,2021,252602.41,223884.21,12.83%
WI,2022,278295.29,252602.41,10.17%
WI,2023,293653.82,278295.29,5.52%
WI,2024,307190.06,293653.82,4.61%
WI,2025,319477.37,307190.06,4.0%
WV,2001,85792.4,81361.59,5.45%
WV,2002,88815.41,85792.4,3.52%
WV,2003,90741.55,88815.41,2.17%
WV,2004,95201.38,90741.55,4.91%
WV,2005,103481.6,95201.38,8.7%
WV,2006,109932.91,103481.6,6.23%
WV,2007,112901.29,109932.91,2.7%
WV,2008,117129.37,112901.29,3.74%
WV,2009,113466.69,117129.37,-3.13%
WV,2010,110976.77,113466.69,-2.19%
WV,2011,109124.82,110976.77,-1.67%
WV,2012,110195.22,109124.82,0.98%
WV,2013,111125.61,110195.22,0.84%
WV,2014,112518.8,111125.61,1.25%
WV,2015,115449.04,112518.8,2.6%
WV,2016,117766.46,115449.04,2.01%
WV,2017,119172.53,117766.46,1.19%
WV,2018,123891.29,119172.53,3.96%
WV,2019,107169.59,123891.29,-13.5%
WV,2020,112912.5,107169.59,5.36%
WV,2021,130702.47,112912.5,15.76%
WV,2022,143951.19,130702.47,10.14%
WV,2023,145223.04,143951.19,0.88%
WV,2024,152862.39,145223.04,5.26%
WV,2025,157170.43,152862.39,2.82%
WY,2003,143397.6,139063.2,3.12%
WY,2004,152451.2,143397.6,6.31%
WY,2005,164946.0,152451.2,8.2%
WY,2006,172534.8,164946.0,4.6%
WY,2007,184815.0,172534.8,7.12%
WY,2008,183943.6,184815.0,-0.47%
WY,2009,223426.1,183943.6,21.46%
WY,2010,215377.34,223426.1,-3.6%
WY,2011,209471.69,215377.34,-2.74%
WY,2012,206069.45,209471.69,-1.62%
WY,2013,214158.57,206069.45,3.93%
WY,2014,220040.0,214158.57,2.75%
WY,2015,248814.41,220040.0,13.08%
WY,2016,270297.87,248814.41,8.63%
WY,2017,278083.12,270297.87,2.88%
WY,2018,281130.32,278083.12,1.1%
WY,2019,283557.3,281130.32,0.86%
WY,2020,299643.91,283557.3,5.67%
WY,2021,343995.27,299643.91,14.8%
WY,2022,399496.53,343995.27,16.13%
WY,2023,422239.01,399496.53,5.69%
WY,2024,445250.13,422239.01,5.45%
WY,2025,460255.85,445250.13,3.37%
