state,year,yoy_growth_pct
ND,2021,-3.69
ND,2022,5.25
ND,2023,9.79
ND,2024,5.94
ND,2025,1.62
NE,2016,-0.90
NE,2017,3.20
NE,2018,3.33
NE,2019,3.06
NE,2020,3.95
NE,2021,4.76
NE,2022,-2.59
NE,2023,6.82
NE,2024,10.34
NE,2025,3.64
NH,2016,-1.66
NH,2017,4.92
NH,2018,5.34
NH,2019,5.21
NH,2020,6.92
NH,2021,10.49
NH,2022,9.61
NH,2023,7.02
NH,2024,5.69
NH,2025,4.31
NJ,2016,2.49
NJ,2017,2.27
NJ,2018,3.36
NJ,2019,2.91
NJ,2020,4.36
NJ,2021,11.01
NJ,2022,14.40
NJ,2023,5.09
NJ,2024,0.60
NJ,2025,1.47
NM,2016,8.96
NM,2017,5.92
NM,2018,4.58
NM,2019,6.66
NM,2020,4.89
NM,2021,11.81
NM,2022,3.58
NM,2023,-1.32
NM,2024,17.67
NM,2025,7.84
NV,2016,6.24
NV,2017,7.90
NV,2018,8.95
NV,2019,6.15
NV,2020,4.30
NV,2021,10.82
NV,2022,7.43
NV,2023,5.14
NV,2024,1.67
NV,2025,-0.03
NY,2016,-2.76
NY,2017,2.92
NY,2018,0.15
NY,2019,6.10
NY,2020,2.88
NY,2021,7.38
NY,2022,9.67
NY,2023,2.77
NY,2024,0.87
NY,2025,-3.21
OH,2016,2.52
OH,2017,2.69
OH,2018,2.78
OH,2019,3.39
OH,2020,4.51
OH,2021,7.87
OH,2022,6.60
OH,2023,2.36
OH,2024,4.59
OH,2025,4.26
OK,2016,0.86
OK,2017,1.19
OK,2018,2.17
OK,2019,2.75
OK,2020,4.84
OK,2021,10.08
OK,2022,5.69
OK,2023,-1.93
OK,2024,7.02
OK,2025,1.46
OR,2016,8.15
OR,2017,6.30
OR,2018,4.51
OR,2019,4.68
OR,2020,4.57
OR,2021,8.99
OR,2022,8.18
OR,2023,-2.28
OR,2024,2.49
OR,2025,2.04
PA,2016,0.87
PA,2017,2.25
PA,2018,1.19
PA,2019,5.69
PA,2020,4.73
PA,2021,7.82
PA,2022,7.80
PA,2023,0.11
PA,2024,1.83
PA,2025,2.17
RI,2016,5.12
RI,2017,5.09
RI,2018,5.88
RI,2019,5.18
RI,2020,5.55
RI,2021,11.09
RI,2022,11.73
RI,2023,7.34
RI,2024,6.40
RI,2025,5.00
SC,2016,1.38
SC,2017,4.44
SC,2018,4.49
SC,2019,1.53
SC,2020,3.14
SC,2021,10.54
SC,2022,13.39
SC,2023,4.19
SC,2024,-2.59
SC,2025,3.89
SD,2017,3.84
SD,2018,2.84
SD,2019,1.67
SD,2020,3.44
SD,2021,9.47
SD,2022,12.83
SD,2023,-1.87
SD,2024,4.50
SD,2025,2.77
TN,2016,1.19
TN,2017,2.53
TN,2018,3.92
TN,2019,4.81
TN,2020,5.12
TN,2021,10.16
TN,2022,8.13
TN,2023,4.95
TN,2024,3.05
TN,2025,3.44
TX,2016,2.40
TX,2017,2.85
TX,2018,5.14
TX,2019,3.60
TX,2020,1.27
TX,2021,6.62
TX,2022,8.67
TX,2023,3.14
TX,2024,0.72
TX,2025,2.31
UT,2016,5.88
UT,2017,6.44
UT,2018,5.95
UT,2019,19.92
UT,2020,6.01
UT,2021,15.21
UT,2022,3.11
UT,2023,1.39
UT,2024,1.98
UT,2025,-1.42
VA,2016,2.75
VA,2017,3.42
VA,2018,0.62
VA,2019,2.93
VA,2020,4.20
VA,2021,8.06
VA,2022,10.84
VA,2023,1.57
VA,2024,0.75
VA,2025,3.25
VT,2017,4.37
VT,2018,3.38
VT,2019,2.38
VT,2020,2.95
VT,2021,6.70
VT,2022,11.65
VT,2023,7.55
VT,2024,-11.99
VT,2025,-14.37
WA,2016,4.50
WA,2017,8.09
WA,2018,6.83
WA,2019,5.54
WA,2020,5.16
WA,2021,10.75
WA,2022,0.50
WA,2023,1.36
WA,2024,3.56
WA,2025,3.00
WI,2016,0.59
WI,2017,-8.63
WI,2018,2.33
WI,2019,1.47
WI,2020,4.54
WI,2021,1.70
WI,2022,0.31
WI,2023,5.89
WI,2024,3.27
WI,2025,3.14
WV,2017,-7.09
WV,2018,2.28
WV,2019,0.90
WV,2020,2.90
WV,2021,0.86
WV,2022,2.28
WV,2023,-1.05
WV,2024,0.73
WV,2025,5.37
WY,2016,5.41
WY,2017,-1.83
WY,2018,1.69
WY,2019,4.83
WY,2020,0.00
WY,2021,3.31
WY,2022,8.30
WY,2023,7.68
WY,2024,23.84
WY,2025,7.42
